,title,picture_url,myanimelist_id,rank,score,type,aired_on
40,Hajime no Ippo,https://cdn.myanimelist.net/images/anime/4/86334.jpg,263,41,8.77,TV (75 eps),Oct 2000 - Mar 2002
41,Shingeki no Kyojin: The Final Season Part 2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,48583,42,8.76,TV (12 eps),Jan 2022 - Apr 2022
42,Monogatari Series: Second Season,https://cdn.myanimelist.net/images/anime/1807/121534.jpg,17074,43,8.76,TV (26 eps),Jul 2013 - Dec 2013
43,Kimetsu no Yaiba: Yuukaku-hen,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,47778,44,8.75,TV (11 eps),Dec 2021 - Feb 2022
44,Kingdom 5th Season,https://cdn.myanimelist.net/images/anime/1050/139641.jpg,53223,45,8.75,TV (13 eps),Jan 2024 - Mar 2024
45,Ashita no Joe 2,https://cdn.myanimelist.net/images/anime/3/45028.jpg,2921,46,8.75,TV (47 eps),Oct 1980 - Aug 1981
46,Cowboy Bebop,https://cdn.myanimelist.net/images/anime/4/19644.jpg,1,47,8.75,TV (26 eps),Apr 1998 - Apr 1999
47,Vinland Saga,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,37521,48,8.75,TV (24 eps),Jul 2019 - Dec 2019
48,Kingdom 4th Season,https://cdn.myanimelist.net/images/anime/1566/122794.jpg,50160,49,8.74,TV (26 eps),Apr 2022 - Oct 2022
49,Mushishi Zoku Shou 2nd Season,https://cdn.myanimelist.net/images/anime/9/68095.jpg,24701,50,8.73,TV (10 eps),Oct 2014 - Dec 2014
